ID,Descriçãodosalimentos,Energia,Prot.(A),Prot.(V),Gordura,Carbo,Fibra,Sódio
608,"Polvilho,doce",351.23,0.00,0.43,0.00,86.77,0.24,1.577
609,"Porco,bisteca,crua",164.12,21.50,0.00,8.02,0.00,0.00,54.290
610,"Porco,bisteca,frita",311.17,33.75,0.00,18.52,0.00,0.00,63.027
611,"Porco,bisteca,grelhada",280.08,28.89,0.00,17.38,0.00,0.00,51.445
612,"Porco,costela,assada",402.17,30.22,0.00,30.28,0.00,0.00,62.679
613,"Porco,costela,crua",255.61,18.00,0.00,19.82,0.00,0.00,87.982
614,"Porco,lombo,assado",210.23,35.73,0.00,6.40,0.00,0.00,38.924
615,"Porco,lombo,cru",175.63,22.60,0.00,8.77,0.00,0.00,53.068
616,"Porco,orelha,salgada,crua",258.49,18.52,0.00,19.89,0.00,0.00,615.602
617,"Porco,pernil,assado",262.26,32.13,0.00,13.86,0.00,0.00,62.406
618,"Porco,pernil,cru",186.06,20.13,0.00,11.10,0.00,0.00,101.893
619,"Porco,rabo,salgado,cru",377.42,15.58,0.00,34.47,0.00,0.00,1157.665
620,"Porquinho,cru",93.02,20.49,0.00,0.61,0.00,0.00,66.730
621,Presunto,0.00,20.00,0.00,29.00,0.00,0.00,0.000
622,"Presunto,comcapadegordura",127.85,14.37,0.00,6.77,1.40,0.00,1020.772
623,"Presunto,semcapadegordura",93.74,14.29,0.00,2.71,2.15,0.00,1039.185
624,"Pupunha,cozida",218.53,0.00,2.52,12.76,29.57,4.25,0.909
625,PurêdeBatata,0.00,1.94,0.00,4.32,15.95,0.98,0.000
626,QueijoCheddar,0.00,25.00,0.00,33.00,1.00,0.00,0.000
627,QueijoCottagePortoAleg.,0.00,10.20,0.00,5.00,2.00,0.00,0.000
628,QueijoMinasFrescal,0.00,20.00,0.00,26.66,3.33,0.00,0.000
629,QueijoMussarela,0.00,23.33,0.00,26.67,0.00,0.00,0.000
630,QueijoParmesãoRegina,0.00,40.00,0.00,32.00,9.00,0.00,0.000
631,QueijoPratoLancheQuatá,0.00,26.67,0.00,30.00,0.00,0.00,0.000
632,QueijoRicotaBialini,0.00,11.33,0.00,13.00,3.00,0.00,0.000
633,QueijoRicotaCBR,0.00,9.60,0.00,9.60,3.20,0.00,0.000
634,QueijoRicotaGodam,0.00,22.33,0.00,16.66,0.00,0.00,0.000
635,"Queijo,minas,frescal",264.27,17.41,0.00,20.18,3.24,0.00,31.226
636,"Queijo,minas,meiacura",320.72,21.21,0.00,24.61,3.57,0.00,501.166
637,"Queijo,mozarela",329.87,22.65,0.00,25.18,3.05,0.00,581.357
638,"Queijo,parmesão",452.96,35.55,0.00,33.53,1.66,0.00,1844.081
639,"Queijo,Parmesão,ReliquiaCanastra",481,37.0,0.0,37.0,0.0,0.0,0.000
640,"Queijo,pasteurizado",303.08,9.36,0.00,27.44,5.68,0.00,780.426
641,"Queijo,petitsuisse,morango",121.11,5.79,0.00,2.84,18.46,0.00,412.469
642,"Queijo,prato",359.88,22.66,0.00,29.11,1.88,0.00,579.774
643,"Queijo,requeijão,cremoso",256.58,9.63,0.00,23.44,2.43,0.00,557.925
644,"Queijo,ricota",139.73,12.60,0.00,8.11,3.79,0.00,282.579
645,"Quiabo,cru",29.94,0.00,1.92,0.30,6.37,4.55,0.891
646,"Quibe,assado",136.23,14.59,0.00,2.68,12.86,1.90,39.893
647,"Quibe,cru",109.49,12.35,0.00,1.67,10.77,1.65,38.766
648,"Quibe,frito",253.83,14.89,0.00,15.80,12.34,0.00,835.825
649,Quibebe,86.35,0.00,8.56,2.67,6.64,1.67,246.614
650,Quindim,411.35,4.74,0.00,24.43,46.30,3.22,27.366
651,"Rabanete,cru",13.74,0.00,1.39,0.07,2.73,2.19,10.993
652,Rap10,0.00,6.50,0.00,2.00,45.00,10.00,0.000
653,Rapadura,351.96,0.00,0.99,0.07,90.79,0.00,21.711
654,"Refrigerante,tipoáguatônica",30.78,0.00,0.00,0.00,7.95,0.00,8.290
655,"Refrigerante,tipocola",33.51,0.00,0.00,0.00,8.66,0.00,7.119
656,"Refrigerante,tipoguaraná",38.70,0.00,0.00,0.00,10.00,0.00,9.010
657,"Refrigerante,tipolaranja",45.63,0.00,0.00,0.00,11.79,0.00,9.272
658,"Refrigerante,tipolimão",39.72,0.00,0.00,0.00,10.26,0.00,8.803
659,RepolhoCozido,0.00,0.00,1.02,0.43,4.46,1.90,0.000
660,RepolhoCru,0.00,0.00,1.44,0.12,5.58,2.30,0.000
